sha,is_mal,orig_c2,tier3_filtered,kept_c2
33d27a5f6b07557021fc4c7959bef4c0e7ee79cc3991e7e213de976b60af1147,1,6,0,6
315e29c580f1720dfc0f7ef7d48beeb3321f3bf343646e022420af119ad7a370,1,0,0,0
33d2ea973f861bb7c46397c4e0f9aedc37ef10fb8ab2f4090f35a335d86ef0b2,1,4,0,4
345bbac79d218919228838242d35fc475a7aab28d303d1d51ac6078cd59197d6,1,0,0,0
328ff57e39148daf440359709e92989aad445f1b41b3f33135238a9343317d85,1,13,0,13
352e2e2b57138099966a3a558f9eb3d6a88c27fa6d401f767b36e5cf3440f06a,1,7,0,7
3502fa570ada49eaeeaa4785bb1897ed91dfadaa76c5e8626c5b8e944d8f5f01,1,0,0,0
357d6a12b37bf72550d9df5035f25157d3ca75e1a69e71783586ee4759ee7b45,1,1,0,1
3504d9f2a2fdf021a382be4e2603acbdb5550ac2ddf26f62da1c2227b1f7f400,1,1,0,1
3779e67d696ba3ef4ba4b38ba10e07301620a45f1d89f004da5ae64f050dfdb4,1,0,0,0
379f0932084641fd8839b2101428a5c856f4d9c54dc9aff4a5d58a0de9a12595,1,38,0,38
36c25d77e5097eaec3b3b7fe879533d093e8cd40bce16aff601102838eb2a211,1,2,0,2
36158735c5442bb6a2f5432226403905551f360d7ce99fa51e9d2b54b7cd02e7,1,11,0,11
3a03b35a4c614d651954f8298d5bb75abe33223e0791bdc1b9bdb2af69d3009b,1,0,0,0
37c97fe776f0af6b21be6892124317461f75032f33944d933f1d046a90bd13be,1,18,0,18
3c81526bcb801d7dcfaea7f379528471d745a36e3c1bdc41877b4bed34b5dce6,1,1,0,1
399f5bddd1e30bb612522c9c770e073f5e304165df170c4668550de34f34f7c1,1,2,0,2
3c0edd3c80f917d0045ac51d177e9a4768df5a66517005b0f7944423aa54b089,1,0,0,0
388d7fd938e51455ad9ba27eae9ce01fcbadff8ab88d5a7e9e742cb28402f1e8,1,0,0,0
3c44fed6329931c17ffbbe8044b9181ab54cd9c5e9671c657e6f5a0882f5d59c,1,18,0,18
43f62b4cca7597f24772bf7edd005c3929b5e4d1bc821d5097a7d11ff02c0a93,1,0,0,0
412f959e050df1e74d732401f67210595b7db1c3dbd6e27c49fd1ee2bf8031b4,1,6,0,6
3cb4b373a24afb10b8003762e763e6b44008bdf9a58d0a9a2b80a5de68308ecd,1,1,0,1
4067054f202cc8e87557915783d4468b54985c5cc7b0b57df98ffbb106475196,1,7,0,7
44b5086d35b879afb9278392c230cdd0d16ac9b830cd44e75ece6ccf0fd4952c,1,2,0,2
3f76c482fdd58df5edd678e4730745e7cbafe298d0ebe0770ff962a3c2d6cf7f,1,13,0,13
3dfbecd41310db51f8aa31149d9e5619ed7799166f2e7a57b32c30d6633c82cb,1,1,0,1
44c68a4b47e80309bfd2ceb87ad3672cee1796da709a663b391c3678c29a0979,1,0,0,0
45d2031af6420768aef7c0d4a0b08063939abe88c27e0344cf9c787f73eb8f3e,1,10,0,10
47bb7f855cdf116c62499240089fa1b7a69585e8b7f639e192b9d038da4094cd,1,16,0,16
47a4aff5aaac505f213fb058e22cb5fecd03791c3f60ff9529b9f9befcbc2012,1,19,0,19
4dc2d4c59ca4e06b852ccbec728009a2a7a7e1e3f6cee65588d4d376b7f14a2d,1,44,0,44
4ccf02c87de6c0bf718d9f8cdf6c61a9edc909fab1cdd7d497572e30fea1f580,1,0,0,0
4e355df8f0843afc4a7bfc294ee4b1db9e9b896269c754c2d57dcb647dcd3efb,1,2,0,2
48f7ecd18cadc12914b89e91336b9885131d4151a9ed1975f6456e7951633583,1,19,0,19
4eb2ac595b1a17ddde607d55dc41d93896eeca3a01cd440b8953159bca3a418d,1,17,0,17
5010f34461e309ea1bc5539bb24fccc320576ce6d677a29604f5568c0a5e6315,1,0,0,0
4f181b3a42657a4c18a898d84108f7500baf243a2ac710adec1c5938cf0adb57,1,3,0,3
5030b673a6de2f1e1a83e3cb911fe053bdc38439d6a22ebad1c8a3a59d513205,1,0,0,0
51f9c37c3eec0b6f8325aa1c8fe64a0615ab920584042df557426473b1270b40,1,0,0,0
4fca2064417bf4c9e96131aaa59021a56f6d01c18d74d085cf01cb9e9c4e6e25,1,12,0,12
536a6084656a2d58e81a88ecfe0a0d050a4a5794f65cbc09170646c3e4c0dc0c,1,5,0,5
518f5438a21e9aa9a91f0dd589088e443fda111d8ada5ea67d1cf14d6645974c,1,0,0,0
537f08755139d0199fb1751068eb49a92b68e0d1dcadaf03758837c3832f99c5,1,0,0,0
554e71b4e5d2a172707b51edc8e0e22cba40858b69884e75228c12718c47e1ef,1,11,0,11
54f2a636e000c55bb725d7e552a22117837c1676fb4b96decd135ae10e6f7049,1,4,0,4
54ece852176437e02ce2400e48c5545d32a5d69adee4a66a337ba98c67aea94e,1,6,0,6
536cb0e2ffffa40d1ccd096eaaad43f094813bae15d8f6316dc35fb998d5e4cd,1,0,0,0
5494db78d03c9b3061c780520fc6713fa16cc8469c18ec9acb3d8eddff91964a,1,0,0,0
557c02b5e9ca8103e6ad5413df1b447fae5c9ce086a0b5330bf9c79a578585df,1,13,0,13
5606655728a5e64d3c2229deb831d087605a1362fd545dc5d7a93961bf1c7825,1,0,0,0
562c92478e7cf5790e6bd8d706c51d9178ea1bd58537575f03edbbb427f54fc9,1,2,0,2
58cc948bd809292143e604c3e03735c9517f94b37dd35299ca5e81d7b902d620,1,1,0,1
5af77b5f5d014162cd3bf43314ebb91f39658c5be335c1efff7c9564e298e719,1,0,0,0
584efe8d1449e1d03b30e08a9abf916c510628ae6950da11e195a22653190d48,1,10,0,10
5b6f0757e98303cf337d10b6f8c7378bdfd4de30dea624545207dd01a85b6c37,1,6,0,6
563bc028fac5f38f3849a3808bcba9cc41beeaf4b9ff771d383954beb1267e0b,1,1,0,1
5cad494f67808745489659cd077dce429fce364a673c44c9d238d14dcca81732,1,0,0,0
5e82d73a3b2d4df192d674729f9578c4081d5096d5e3641bf8b233e1bee248d4,1,9,0,9
5e7116ea24dee71abac470b432a62c41e0fd680663162a486ab2b6fe25ccf367,1,2,0,2
5f113715e47ddce3f72f9ff69b1aa07ee09225eaf6b501a7b106fa893779a931,1,28,0,28
63371a25c79264de99fb9f55dee9f893625b8f2b3e8ea97da43e60518aee8509,1,1,0,1
62545321423f75c0f4774c868a1677087399353adda0fb361cd3884d2680dcc2,1,8,0,8
5f94e59c132a7ed0e35b60146d973a728ab9f390c8291f9547cee26c56427738,1,0,0,0
61d4518fac40db1cef72d8b6f9a14080d93ef53a6f6e55605ee12da87978a14f,1,0,0,0
5f208d88f5cefaa967d5e9320f2875de3ca8fada870ab83c1fe20c01558f85b1,1,5,0,5
64a9263148d49bbabaf13b68fc461c93275d5d7f852288ccf00d1b25e39069d3,1,8,0,8
64ab7a8e612d8d60c1c4cc8ce1b4ace4aafcec7e1f5239894f2b214b094fa1b1,1,6,0,6
6376bcd8faa57aac7437116b184967a588025e2bf96318272cdcf51ff2f8dfdd,1,0,0,0
65ac82b8d756a548760f16e1c8671197716f5b7b1bdfb72f1adce34e0aec4824,1,1,0,1
66ea10f2bc2445ad8ce43dca11ba2ea4968633c1ce21b5a2ac5f1c647db5ffcd,1,19,0,19
6725dfc3cb9b8f2103ebb129f0d4816ae836c15103229e8fda0151aa390d33ad,1,0,0,0
669b75fd2620fa990bb982c07f5233f5b3e98aff65d9d8ffb9683aaae6cb98c1,1,0,0,0
6a01a9e0fc20d47835fd19d732af97fc4a2d68e1f735f4cdea7d4eeb03fcf582,1,0,0,0
6827b5683119738e2b75c6640e59ff6d4d51b50618f239f41f1bd86687de573e,1,6,0,6
6832234c4eae7a57be4f68271b7eecb056c4cd8352c67d2273d676208118871d,1,8,0,8
6acc850988883adc4a5129ea711f3f176815e4eb210ecc9f8db643d15ca9c8d9,1,7,0,7
692e7b0f657ac34635e0dcd633f9c73b37d0258457d161ec6dbee26820cb72dd,1,2,0,2
6a02832c97ad6c0f2ddb813acb52ef002ef616be2a7ded5a0a69b7dbdf2f7aff,1,21,0,21
6d8f8367ea6b2360cde4a53a450216adec54228d63840bf5471a746697399699,1,0,0,0
6c1ed581a3843a9cbe7a864bff72cf2ad914733dc90fea105f66ab5c6e24b2c8,1,1,0,1
6d29e6e5372cd0690e0df62eb6d98938e91191b0e639fed2476497baa8255405,1,1,0,1
6e3499a5e63209b34ccc787a7ea57953ff5436b51ca4325ea0da4a958f44ea7b,1,56,0,56
68b9c7ae6b51f211ecd0cfdd656bc3b14840627adc7073faf9504acdb0e52dae,1,2,0,2
6e9848008c42128623d1077f0cc75c0861e2b3d0fb76e68c5fc9ec8f69361572,1,18,0,18
7365190230042fa2f8aba13d39cfecaa52b029750331760bcd114bafb01cb6db,1,0,0,0
73b2fd2dfb5860f0701b16002832987d5edcfe059df454d30548aa4fa45bebe6,1,0,0,0
74611134257de9e9f549d445d19d465afeb1af34399683ff04303a11ecf643fc,1,1,0,1
77eef34639c4d2d244ba407c6e0a1b9b5ec0187e73de1ae3acb0f71f3906f595,1,0,0,0
75b06872276a85812c28398d125938fc420fa84774576ea8221592db612cb1b2,1,11,0,11
767c218be4e7d2c99ee9c8b36128ac932d2dac0e3792ce638b804083f75e1096,1,0,0,0
72f18d019123393ae610dd73b25e5f30a4945430f6f835700d6bdee19f566a30,1,0,0,0
752f3cacdad6753d4c02bb8e40ef3e0990b55466c18a7b80ec6fa7b9706e40ab,1,1,0,1
789d04c93488adf85d8d7988c0d050648cd91ad469f9e63e04d290523dfb1d93,1,0,0,0
7d44e0009d251ae4983f5bf29f7d8aa9af668df88dba05a17a7a314f6780ceff,1,137,0,137
7e8693dfed67a88db885ac0ffd94b73351d1f910cafc6425e8f1b4ab0e24c2a8,1,0,0,0
7a4238fc6f5d3c7731c2eb33911298eaa36986040858af56e76628c5dc83e265,1,1,0,1
80ae30136ea55e936c66cd61cbf1de428d8d20d76fec06c1e4c0217472e6e089,1,16,0,16
7bebc4b248402dbf988b92eb7d9c86797bb302b983e63ce0d2dba96f0f8a345a,1,3,0,3
7fb836c08ff527443b06d1c20afb6a4b0f51eb373013f211e0d3200bf26527b7,1,1,0,1
7e7ee5b11fe1ca56f0f8416638964bec68b9ef90b25426f06d1330222b1dcf3d,1,36,0,36
810926f89430144fd258ed4a95f1d77215f657a4e7dac2ce0c410bcffbdca99e,1,201,0,201
818e8917650bff20ef5d3440d2c33739f973d4e7f41af7d7767502dac5a0580c,1,0,0,0
84ddfdd7862e3c3481ae65b64d9087ab7c5c29355a29e9e7c3a4011a631f7387,1,0,0,0
844bd3f253433ee713fd1b0b8f09db675b3b257c3677723a57713a547c6de177,1,2,0,2
85cafe005c7f893cae65fa0a5ebf1c103eca579529ebd5d531c672408acdb9d0,1,12,0,12
849ed093a737a2ec02968f739510b45c60deb418afcc21ef76f1195820288297,1,33,0,33
85a44fd5134cf1d317a7637f1fb47dcf570a93e925c365b2e8f103a0fa459290,1,0,0,0
831334e1e49ec7a25375562688543ee75b2b3cc7352afc019856342def52476b,1,72,0,72
877ab7dbbef2267a39513d1ad777b5c469f76f2a110be547100cb339d76a3f1f,1,2,0,2
8731cb0a474a85085729d37a5bb21e2c9073f3d261e6b33374cd9233a85b1228,1,1,0,1
8fdca3a8808a792abaabd8a49985555ae321357f6cc0326e6182fe50f55c6118,1,4,0,4
8e39fb18e8acb2e4fc4bcd7db2efc320f5ec84100e8ba870fd24dd13a6584277,1,2,0,2
908ed30161b44d20bb4e286de7fb8203b2b8a2a807c6638ee9d9830de3a0f913,1,14,0,14
8856ac19f179461c4008249c342c8dadbd17118f80f43ce0229ddb1cda33bd67,1,16,0,16
8fdd17e520f7c2ac1924ef3806d85aadf3e969418578ff0b7ea245af93a16315,1,4,0,4
87def7f445734b4b9b57b97cd4af8d22b2684dd4dd3e7ae8d07a120efa3b1814,1,1,0,1
918eb87af81e92709d872621ea8ed0c086e38fbdf48a5e5ebdcab190f41bd07b,1,12,0,12
93880cd38abffa10e753c17ae7c14f0833356cba601bd1a3d3998859f47c900f,1,10,0,10
97b0f46920e69a0aa5abe2284fe1e7bf9d2efa7ecfb4a29a7ba9b8a92e92c0c9,1,11,0,11
9628acabe739b5419f08c5a5c3cd776268bf4a3c25c978341e403bde442e0ece,1,1,0,1
9a7534768302bdafa51f7abc698639eb23bb38a8c41a362f41b182ae9171969a,1,28,0,28
97936d7873348f905d119dd9399261374aae494296e1b5fb3df521ef3cc76405,1,2,0,2
95236ef71738807ce60ef7d042699decb7156931931682cf46e6adc991dc9ecb,1,0,0,0
9508ff9b7bdc06a220ba132eecf2d35bee47072ed9bff82fb24bc0e110ab1652,1,7,0,7
9904bb103fae65ab3dd712f6b9ff361d3f3cb3a4cc814b69f0af3e2f1a837ecd,1,1,0,1
